agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,12th Street Apartments,12th Street 19 LLLP,Los Angeles,Los Angeles,26-004,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",16,100% at 80% AMI,55,2500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,8th Street Apartments,2933 8th LLLP,Los Angeles,Los Angeles,26-003,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Alexandria II Apartments,130 Alexandria LLLP,Los Angeles,Los Angeles,26-005,2026-01-09,authorize,,,,,,,,,,,cmfa-meeting-docs
CMFA,Ardmore Apartments,Ardmore 19 LLLP,Los Angeles,Los Angeles,26-006,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",67,100% at 80% AMI,55,10050.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Avalon Apartments,Ave 55 19 LLLP,Los Angeles,Los Angeles,26-007,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Fedora Apartments,861 Fedora LLLP,Los Angeles,Los Angeles,26-008,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",39,100% at 80% AMI,55,5850.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Harvard Apartments,516 Harvard LLLP,Los Angeles,Los Angeles,26-009,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Hollywood Apartments,5200 Hollywood LLLP,Los Angeles,Los Angeles,26-010,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",20,100% at 80% AMI,55,3000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Kenmore II Apartments,Kenmore II 20 LLLP,Los Angeles,Los Angeles,26-011,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",48,100% at 80% AMI,55,7200.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Kenmore III Apartments,915 S Kenmore LLLP,Los Angeles,Los Angeles,26-012,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",18,100% at 80% AMI,55,2700.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Kinglsey Apartments,530 Kingsley LLLP,Los Angeles,Los Angeles,26-013,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",45,100% at 80% AMI,55,6750.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Lexington Apartments,5406 Lexington LLLP,Los Angeles,Los Angeles,26-014,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",42,100% at 80% AMI,55,15900.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Manhattan I & II Apartments,Manhattan 20 LLLP,Los Angeles,Los Angeles,26-015,2026-01-09,authorize,,,,,,,,,,,cmfa-meeting-docs
CMFA,Mariposa I Apartments,Mariposa 20 LLLP,Los Angeles,Los Angeles,26-016,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,1141 N. Vermont Avenue Apartments,1141 N. Vermont NH LP,Los Angeles,Los Angeles,26-002,2026-01-09,authorize,,Thrive Living,"Foundation Permanent Housing Fund, Inc.",290,100% at 80% AMI,30,43500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Mariposa III Apartments,750 Mariposa LLLP,Los Angeles,Los Angeles,26-017,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",23,100% at 80% AMI,55,3450.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Mariposa IV Apartments,520 Mariposa LLLP,Los Angeles,Los Angeles,26-018,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",48,100% at 80% AMI,55,7200.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Oxford II Apartments,Oxford 20 LLLP,Los Angeles,Los Angeles,26-020,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",32,100% at 80% AMI,55,4800.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Western Apartments,Western 19 LLLP,Los Angeles,Los Angeles,26-022,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",76,100% at 80% AMI,55,11400.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,The Collective Apartments,"Langdon Park Capital & Standard Real Estate Investments, or an affiliate",Los Angeles,Los Angeles,,2026-01-09,preliminary_only,,Langdon Park Capital and Standard Real Estate,Housing on Merit,192,100% at 80% AMI,30,28800.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,Redwood Square Apartments,Redwood Square Owner LLC,Sacramento,Sacramento,,2026-01-09,preliminary_only,,Lincoln Avenue Capital Management LLC,"Pacific Housing, Inc.",206,100% at 80% AMI,30,30900.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,Monte Vista Apartments,Monte Vista 19 LLLP,Los Angeles,Los Angeles,26-019,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",31,100% at 80% AMI,55,4650.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Parkview Apartments,Highland 19 LLLP,Los Angeles,Los Angeles,26-021,2026-01-09,authorize,,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,55,6000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Westmoreland Apartments,132 Westmoreland LLLP,Los Angeles,Los Angeles,26-023,2026-01-09,authorize,,,,,,,,,,,cmfa-meeting-docs
CMFA,1451 W MLK BLVD Apartments,"3 SIOF 1451 W MLK BLVD, LP",Los Angeles,Los Angeles,26-040,2026-01-30,authorize,,"SoLa Impact, LLC",Housing on Merit,50,100% at 80% AMI,30,7350.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,4256 Whittier Blvd Apartments,"SIOF 4252 Whittier Blvd, LP",Los Angeles,Los Angeles,26-041,2026-01-30,authorize,,"SoLa Impact, LLC",Housing on Merit,70,19% at 80% AMI,30,2500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Del Norte Place Apartments,"MG Del Norte Place Apartments, L.P.",El Cerrito,Contra Costa,,2026-01-30,preliminary_only,,MG Properties,"Pacific Housing, Inc.",135,20% at 80% AMI,55,4050.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,The Colonnade Apartments,Post Colonnade Apartments LP,San Jose,Santa Clara,,2026-01-30,preliminary_only,,Post Investment Group,Foothill Affordable Housing Foundation,221,100% at 80% AMI,55,33150.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,The Hive Apartments,Ackerfield 2 LP,Long Beach,Los Angeles,26-039,2026-01-30,authorize,,Golden Bee Properties,"Kingdom Development, Inc.",52,100% at 80% AMI,30,22800.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,225 W 25th Apartments,"2 SIOF 225 E 25th St, LP",Los Angeles,Los Angeles,26-042,2026-01-30,authorize,,"SoLa Impact, LLC",Housing on Merit,30,20% at 80% AMI,30,2500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,9422 Firth Avenue Apartments,"6 SIOF 9416 FIRTH, LP",Los Angeles,Los Angeles,26-043,2026-01-30,authorize,,"SoLa Impact, LLC",Housing on Merit,39,21% at 80% AMI,30,2500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,4008 Martin Luther King Blvd Apartments,"SIOF 9 Properties, LP",Los Angeles,Los Angeles,26-044,2026-01-30,authorize,,"SoLa Impact, LLC",Housing on Merit,70,21% at 80% AMI,30,2500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,1723 Corinth Apartments,"1723 Corinth, LP",Los Angeles,Los Angeles,26-109,2026-02-20,authorize,,Seachange Partners,Foundation for Affordable Housing,42,100% at 80% AMI,55,6300.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,3751 Delmas Terrace Apartments,"3851 Delmas, LP",Los Angeles,Los Angeles,26-110,2026-02-20,authorize,,Seachange Partners,Foundation for Affordable Housing,37,100% at 80% AMI,55,5550.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,La Vista Apartments,"SM La Vista Owner, LP",Santa Maria,Santa Barbara,26-108,2026-02-20,authorize,,Farallon Capital Management L.L.C.,Las Palmas Housing & Development Corporation,460,100% at 80% AMI,30,57000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Bentley Parke Apartments,"Post Bentley Parke, LP",Santa Ana,Orange,26-111,2026-02-20,authorize,,Post Investment Group,Foothill Affordable Housing Foundation,232,100% at 80% AMI,55,34800.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Highlands Point Apartments,St. Anton Highlands LP,San Ramon,Contra Costa,26-107,2026-02-20,authorize,,"Anton DevCo, Inc.","Pacific Housing, Inc.",293,35% at 80% AMI,55,15300.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Fernwood Apartments,"LACDA Housing, LP",Lynwood,Los Angeles,,2026-02-20,preliminary_only,,LACDA Housing,Pacific Southwest Community Development Corporation,5,100% at 80% AMI,55,2500.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,"Alhambra, Orizaba & Richfield Apartments","LACDA Housing, LP",Paramount,Los Angeles,,2026-02-20,preliminary_only,,,,,,,,,,,cmfa-meeting-docs
CMFA,Johnson Apartments,"LACDA Housing, LP",Compton,Los Angeles,,2026-02-20,preliminary_only,,LACDA Housing,Pacific Southwest Community Development Corporation,5,100% at 80% AMI,55,2500.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,The Mark Apartments,"Kairos Investment Management & Pacific Housing, Inc.",Hayward,Alameda,,2026-02-20,preliminary_only,,Kairos Investment Management Company,"Pacific Housing, Inc.",151,100% at 80% AMI,55,22650.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,Baird Affordable Housing Apartments,6942 Baird LP,Los Angeles,Los Angeles,26-135,2026-03-13,authorize,,"Angeleno Investments, LP",Las Palmas Housing & Development Corporation,38,100% at 80% AMI,30,5550.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,1408 Jefferson Apartments,AH 1408 Jefferson LP,Los Angeles,Los Angeles,,2026-03-13,preliminary_only,,Orion Capital LLC,Foundation for Affordable Housing,70,100% at 80% AMI,55,10500.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,12342 Osborne Place Apartments,N31GP LP,Los Angeles,Los Angeles,,2026-03-13,preliminary_only,,GHC Housing Partners,Foundation for Affordable Housing,100,100% at 80% AMI,55,15000.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,220 Humboldt Ct. Apartments,"TAP BFR ACQUISITIONS, LLC",Sunnyvale,Santa Clara,,2026-03-13,preliminary_only,,"TruAmerica Multifamily, LLC",Affordable Housing Access,264,100% at 80% AMI,55,39600.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,Villa Del Sol Senior Apartments,"RFC VDS L.P., FSA VDS L.P., CEDAR BATTLES L.P. and CEDAR VALLEY L.P.",Santa Maria,Santa Barbara,26-154,2026-03-27,authorize,,"MKCR Capital, LLC",Foundation for Affordable Housing,197,100% at 80% AMI,55,29550.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Summerwood Apartment Homes,Standard Summerwood II LP,Hayward,Alameda,26-176,2026-04-17,authorize,,"Standard Property Company, Inc.",Housing on Merit,162,100% at 80% AMI,30,,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Del Norte Apartments,MG Del Norte Place Apartments L.P.,El Cerrito,Contra Costa,26-177,2026-04-17,authorize,,,,,,,,,,,cmfa-meeting-docs
CMFA,Hazelhurst Affordable Housing Apartments,6144 Hazelhurst LP,Los Angeles,Los Angeles,26-226,2026-05-08,authorize,,"Angeleno Investments, LP",Las Palmas Housing & Development Corporation,50,100% at 80% AMI,30,7350.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Bent Tree Apartments,"PR TIG BENT TREE, LP",,Sacramento,26-225,2026-05-08,authorize,,Tailwind Investment Group,Housing on Merit,208,100% at 80% AMI,55,,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Elan River Village Apartments,"River Village 1845, LP",Escondido,San Diego,26-227,2026-05-08,authorize,,"KDF Communities, LLC","Affordable Housing Access, Inc.",123,100% at 80% AMI,55,18450.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Bluwater Crossing Apartments,"6801 Embarcadero Lane, LP, a California limited partnership",Carlsbad,San Diego,26-301,2026-05-29,authorize,,Zenith Property Group LLC,San Diego Interfaith Housing Foundation,12,100% at 80% AMI,35,2500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,California Place Apartments,"PR TIG Cal Place, LP",Sacramento,Sacramento,26-302,2026-05-29,authorize,,Tailwind Investment Group,Housing on Merit,211,100% at 80% AMI,55,,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,26-352,2026-06-12,authorize,,The Sobrato Organization,"Pacific Housing, Inc.",122,20% at 60% AMI; 80% at 80% AMI,30,18300.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,The Heltsley Apartments FKA SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,,2026-06-12,authorize,,The Sobrato Organization,"Pacific Housing, Inc.",112,20% at 60% AMI; 80% at 80% AMI,30,16800.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,,2026-06-26,authorize,,The Sobrato Organization,"Pacific Housing, Inc.",122,20% at 60% AMI; 80% at 80% AMI,30,18300.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,La Posada Apartments,"La Posada Preservation, L.P.",Santa Cruz,Santa Cruz,26-392,2026-06-26,authorize,,Jonathan Rose Companies,"Pacific Housing, Inc.",150,100% at 80% AMI,55,22500.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Guava Gardens Apartments,"Guava Gardens Senior Apartments, LP",La Mesa,San Diego,26-391,2026-06-26,authorize,,"Positive Investments, Inc.",Foundation for Affordable Housing,81,100% at 80% AMI,55,12000.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Park View by Angeleno Apartments,"Angeleno Investment, LP",Los Angeles,Los Angeles,26-390,2026-06-26,authorize,,"Angeleno Investments, LP",Las Palmas Housing & Development Corporation,35,100% at 80% AMI,55,5100.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,The Heltsley Apartments FKA SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,,2026-06-26,authorize,,The Sobrato Organization,"Pacific Housing, Inc.",112,20% at 60% AMI; 80% at 80% AMI,30,16800.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Studios on Fig Apartments,Studios on Fig LP,Los Angeles,Los Angeles,,2026-06-26,preliminary_only,,Evolve Realty & Development Inc.,"Kingdom Development, Inc.",88,100% at 80% AMI,55,10350.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,Casa Del Milagro Apartments,Casa Del Milagro LP,Los Angeles,Los Angeles,,2026-06-26,preliminary_only,,Evolve Realty & Development Inc.,"Kingdom Development, Inc.",99,100% at 80% AMI,55,14550.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,The Trinidad on Fig Apartments,The Trinidad Sylmar LP,Los Angeles,Los Angeles,,2026-06-26,preliminary_only,,Evolve Realty & Development Inc.,"Kingdom Development, Inc.",164,100% at 80% AMI,55,19500.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,236 Berendo Apartments,236 Berendo Holdings OZ LP,Los Angeles,Los Angeles,26-408,2026-07-17,authorize,,,,,,,,,,,cmfa-meeting-docs
CMFA,603 Mariposa Apartments,"603 South Mariposa QOZB, LP.",Los Angeles,Los Angeles,26-407,2026-07-17,authorize,,Housing Diversity Corporation,PEP Housing,94,100% at 80% AMI,55,14100.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Banner Avenue Apartments,6219 Banner LP,Los Angeles,Los Angeles,26-409,2026-07-17,authorize,,Affirmed Housing,Compass for Affordable Housing,64,100% at 80% AMI,55,9450.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Skyline Apartments,BRIDGE Housing Corporation,,,,2026-07-17,preliminary_only,,BRIDGE Housing Corporation,,128,100% at 80% AMI,55,,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,North Cherokee Apartments,1248 Cherokee LP,Los Angeles,Los Angeles,,2026-07-17,preliminary_only,,Seachange Partners,Foundation for Affordable Housing,48,100% at 80% AMI,55,7050.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CMFA,1408 Jefferson Blvd Apartments,"AH 1408 Jefferson, LP",Los Angeles,Los Angeles,26-406,2026-07-17,authorize,,,,,,,,,,,cmfa-meeting-docs
CMFA,Bennington Apartments,"CG Bennington, LP and JSP Bennington, LP",Fairfield,Solano,26-445,2026-08-07,authorize,,Jackson Square Properties,"Pacific Housing, Inc.",132,100% at 80% AMI,30,19800.0,Charitable Affordable Housing Grant for an Affordable,,,cmfa-meeting-docs
CMFA,Westlake Apartments,"Westlake Apts LP, a California limited partnership",Sacramento,Sacramento,26-446,2026-08-07,authorize,,Tesseract Capital Group,Housing on Merit,148,100% at 80% AMI,55,22200.0,Charitable Affordable Housing for an Affordable Rental,,,cmfa-meeting-docs
CMFA,Park View Apartments,"Santa Maria Way Associates, LP",Santa Maria,Santa Barbara County,,2026-08-07,preliminary_only,,Dynamic Real Estate Partners,BRIDGE Housing Corporation,148,100% at 80% AMI,55,22200.0,Approve a Charitable Affordable Housing Program,,,cmfa-meeting-docs
CSCDA,Ascent Apartments,"Ethos GP I Venture, LP",San Jose,Santa Clara,,2025-11-20,authorize,approved,,,650,40% at 80% AMI,30,,"Grant of $5,000","5805 Charlotte Drive, San Jose, CA","December, 2025",cscda-agenda+packet
CSCDA,Hendrix & Hadley Apartments,"Hendrix EREP, LP & Hadley EREP, LP",Escondido,San Diego,,2026-01-08,authorize,approved,,,,,,,,,,cscda-agenda
CSCDA,Highland Gardens Apartments,"Crossings Property, LP",Mountain View,Santa Clara,,2026-01-22,authorize,approved,,,196,40% at 80% AMI,,,"Grant of $5,000","234 Escuela Avenue, Mountain View, CA","February, 2026",cscda-agenda+packet
CSCDA,The Dream Apartments,"Perseverance LAX Affordable, LP",Los Angeles,Los Angeles,,2026-03-05,authorize,approved,,Integrity Housing,572,90% at 80% AMI,,,"Grant of $5,000","9750 Airport Blvd, Los Angeles, CA","March, 2026",cscda-agenda+packet
CSCDA,Cullen Living Apartments,Cullen Living LLC,Los Angeles,Los Angeles,,2026-04-02,authorize,approved,,Integrity Housing,70,80% at 80% AMI,,,"Grant of $5,000","2625 Cullen Street, Los Angeles, CA","April, 2026",cscda-agenda+packet
CSCDA,Sawtelle 2481 Apartments,Sawtelle 2481 LLC,Los Angeles,Los Angeles,,2026-04-02,authorize,,,Integrity Housing,42,80% at 80% AMI,,,"Grant of $5,000","2481 South Sawtelle Blvd, Los Angeles, CA","April, 2026",cscda-agenda+packet
CSCDA,Del Norte Place Apartments,MG Del Norte Place Apartments LP.,El Cerrito,Contra Costa,,2026-05-07,authorize,approved,,,135,40% at 80% AMI,,,"Grant of $5,000","11720 San Pablo Avenue, El Cerrito, CA","June, 2026",cscda-agenda+packet
CSCDA,1454 Florence Apartments,1454 Florence LLC,Los Angeles,Los Angeles,,2026-05-21,authorize,approved,,,31,90%,55,,"Grant of $5,000","1454 West Florence Avenue, Los Angeles, CA","June, 2026",cscda-agenda+packet
CSCDA,Maris at Martinez Apartments,MG Maris Martinez Apartments LP.,Martinez,Contra Costa,,2026-06-04,authorize,,,,168,80% at 80% AMI,15,,"Grant of $5,000","142 Fig Tree Lane, Martinez, CA","July, 2026",cscda-agenda+packet
CSCDA,Colden Oaks Apartments,Colden Oaks Apartments LP.,Los Angeles,Los Angeles,,2026-06-04,authorize,,,The Foundation for Affordable Housing,38,50% at 80% AMI,10,,"Grant of $5,000","225 West Colden Avenue, Los Angeles, CA","June, 2026",cscda-agenda+packet
CSCDA,Hansen Village Apartments,Hansen Village Apartments LP.,Los Angeles,Los Angeles,,2026-06-04,authorize,,,The Foundation for Affordable Housing,116,25% at 80% AMI,10,,"Grant of $5,000","11821 Foothill Blvd, Los Angeles, CA","June, 2026",cscda-agenda+packet
CSCDA,Crystal View Apartments,"EREP TVG Crystal View Owner, LP",Garden Grove,Orange,,2026-06-04,authorize,,,,402,,15,,"Grant of $5,000","12091 Bayport Street, Garden Grove, CA","July, 2026",cscda-agenda+packet
CSCDA,Bayfair Apartments,16077 Ashland Avenue LP,,Alameda,,2026-06-18,authorize,approved,,Integrity Housing,135,100% at 80% AMI,55,,"Grant of $5,000","16077 Ashland Avenue, San Lorenzo","July, 2026",cscda-agenda+packet
CSCDA,511 Hoover Street Apartments,511 Hoover Partnership LP,Los Angeles,Los Angeles,,2026-07-02,authorize,approved,,Housing on Merit,145,50% at 80% AMI,55,,"Grant of $5,000","511 N. Hoover Street, Los Angeles","July, 2026",cscda-agenda+packet
CSCDA,Haven Warner Center,"Haven, LP",Los Angeles,Los Angeles,,2026-07-16,authorize,approved,,,205,40% at 80% AMI,10,,"Grant of $5,000","6530 Independence Avenue, Los Angeles","August, 2026",cscda-agenda+packet
CSCDA,The Arlo,"The Arlo, LP",Los Angeles,Los Angeles,,2026-07-16,authorize,approved,,,100,50% at 80% AMI,20,,"Grant of $5,000","2075 West Jefferson Blvd., Los Angeles","August, 2026",cscda-agenda+packet
CSCDA,Sierra Village,"Sierra Village Owner, LP",,Sacramento,,2026-07-16,authorize,approved,,,185,40% at 80% AMI,10,,"Grant of $5,000","5416 Jackson Street, North Highlands","September, 2026",cscda-agenda+packet
CSCDA,Trails at San Dimas,"Trails San Dimas, LP",San Dimas,Los Angeles,,2026-07-16,authorize,approved,,,288,25% at 80% AMI,10,,"Grant of $5,000","444 North Amelia Avenue, San Dimas","September, 2026",cscda-agenda+packet
CSCDA,Creekside Villas,"CGI Creekside Bliss, LP",San Diego,San Diego,,2026-08-06,authorize,approved,,Foothill Affordable Housing Foundation,144,100% at 80% AMI,20,,"Grant of $5,000","220 47th Street, San Diego","September, 2026",cscda-agenda+packet
CSCDA,Violet on Virgil,"Post Violet, LP",Los Angeles,Los Angeles,,2026-08-06,authorize,approved,,Bedford,302,100% at 80% AMI,10,,"Grant of $5,000","160 S. Virgil Avenue, Los Angeles","September, 2026",cscda-agenda+packet
CSCDA,926 S. Kingsley Apartments,"Kian Investments, LP",Los Angeles,Los Angeles,,2026-08-06,authorize,approved,,Integrity Housing,136,100% at 80% AMI,55,,"Grant of $5,000","926 S. Kingsley Drive, Los Angeles, CA","September, 2026",cscda-agenda+packet
CSCDA,939 S. Kingsley Apartments,"Kingsley Project, LP",Los Angeles,Los Angeles,,2026-08-06,authorize,approved,,Integrity Housing,136,100% at 80% AMI,55,,"Grant of $5,000","939 S. Kingsley Drive, Los Angeles, CA","September, 2026",cscda-agenda+packet
CSCDA,3950 Ingraham Apartments,"Ingraham Investment Group, LP",Los Angeles,Los Angeles,,2026-08-06,authorize,approved,,Integrity Housing,59,100% at 80% AMI,55,,"Grant of $5,000","3950 W. Ingraham Street, Los Angeles, CA","September, 2026",cscda-agenda+packet
CSCDA,Park Playa Apartments,"Park Playa, LP",Los Angeles,Los Angeles,,2026-08-06,authorize,approved,,Integrity Housing,136,80%,55,,"Grant of $5,000","6985 S. Centinela Avenue, Los Angeles, CA","September, 2026",cscda-agenda+packet
CSCDA,Edgemont by Angeleno,1178 Edgemont LP,Los Angeles,Los Angeles,,2026-08-06,authorize,approved,,Housing on Merit,34,80%,55,,"Grant of $5,000","1178 N. Edgemont Street, Los Angeles, CA","August, 2026",cscda-agenda+packet
CSCDA,Verdana Apartments,"CDR Verdana Development, LP",San Diego,San Diego,,2026-08-20,authorize,,,,260,25%,10,,"Grant of $5,000","438 & 480 Camino Del Rio South, San Diego, CA","October, 2026",cscda-agenda+packet
